"plot","datetime","Ta_200","Ta_200_min","Ta_200_max","rH_200","rH_200_min","rH_200_max","SWDR_200","P_RT_NRT"
"BALE006","2018-01-01 00:00:00",6.84,6.84,6.84,60.85,60.85,60.85,0,0
"BALE006","2018-01-01 01:00:00",6.47,6.47,6.47,56.86,56.86,56.86,0,0
"BALE006","2018-01-01 02:00:00",6,6,6,63.26,63.26,63.26,0,0
"BALE006","2018-01-01 03:00:00",5.91,5.91,5.91,61.27,61.27,61.27,0,0
"BALE006","2018-01-01 04:00:00",5.86,5.86,5.86,57.93,57.93,57.93,0,0
"BALE006","2018-01-01 05:00:00",5.17,5.17,5.17,67.37,67.37,67.37,0,0
"BALE006","2018-01-01 06:00:00",4.32,4.32,4.32,61.69,61.69,61.69,0,0
"BALE006","2018-01-01 07:00:00",3.71,3.71,3.71,66.04,66.04,66.04,0.004,0
"BALE006","2018-01-01 08:00:00",7.63,7.63,7.63,46.46,46.46,46.46,0.103,0
"BALE006","2018-01-01 09:00:00",13.39,13.39,13.39,37.25,37.25,37.25,0.338,0
"BALE006","2018-01-01 10:00:00",14.63,14.63,14.63,41.82,41.82,41.82,0.538,0
"BALE006","2018-01-01 11:00:00",14.89,14.89,14.89,39.83,39.83,39.83,0.699,0
"BALE006","2018-01-01 12:00:00",15.71,15.71,15.71,45.77,45.77,45.77,0.802,0
"BALE006","2018-01-01 13:00:00",16.23,16.23,16.23,45.34,45.34,45.34,0.835,0
"BALE006","2018-01-01 14:00:00",17.42,17.42,17.42,45.45,45.45,45.45,0.786,0
"BALE006","2018-01-01 15:00:00",17.69,17.69,17.69,46.35,46.35,46.35,0.675,0
"BALE006","2018-01-01 16:00:00",18.04,18.04,18.04,48.74,48.74,48.74,0.516,0
"BALE006","2018-01-01 17:00:00",17.53,17.53,17.53,45.42,45.42,45.42,0.319,0
"BALE006","2018-01-01 18:00:00",15.58,15.58,15.58,55.24,55.24,55.24,0.106,0
"BALE006","2018-01-01 19:00:00",11.18,11.18,11.18,74.26,74.26,74.26,0.003,0
"BALE006","2018-01-01 20:00:00",8.42,8.42,8.42,70.12,70.12,70.12,0,0
"BALE006","2018-01-01 21:00:00",7.42,7.42,7.42,76.01,76.01,76.01,0,0
"BALE006","2018-01-01 22:00:00",6.87,6.87,6.87,72.96,72.96,72.96,0,0
"BALE006","2018-01-01 23:00:00",7.23,7.23,7.23,67.43,67.43,67.43,0,0
"BALE006","2018-01-02 00:00:00",6.01,6.01,6.01,76.72,76.72,76.72,0,0
"BALE006","2018-01-02 01:00:00",5.22,5.22,5.22,68.15,68.15,68.15,0,0
"BALE006","2018-01-02 02:00:00",5.96,5.96,5.96,57.63,57.63,57.63,0,0
"BALE006","2018-01-02 03:00:00",4.61,4.61,4.61,61.47,61.47,61.47,0,0
"BALE006","2018-01-02 04:00:00",5.46,5.46,5.46,55.87,55.87,55.87,0,0
"BALE006","2018-01-02 05:00:00",5.36,5.36,5.36,66.94,66.94,66.94,0,0
"BALE006","2018-01-02 06:00:00",4.49,4.49,4.49,74.51,74.51,74.51,0,0
"BALE006","2018-01-02 07:00:00",4.72,4.72,4.72,78.41,78.41,78.41,0.004,0
"BALE006","2018-01-02 08:00:00",7.85,7.85,7.85,49.63,49.63,49.63,0.098,0
"BALE006","2018-01-02 09:00:00",13.28,13.28,13.28,50.56,50.56,50.56,0.323,0
"BALE006","2018-01-02 10:00:00",13.24,13.24,13.24,45.88,45.88,45.88,0.518,0
"BALE006","2018-01-02 11:00:00",14.33,14.33,14.33,46.66,46.66,46.66,0.681,0
"BALE006","2018-01-02 12:00:00",15.22,15.22,15.22,43.71,43.71,43.71,0.791,0
"BALE006","2018-01-02 13:00:00",16.07,16.07,16.07,44.05,44.05,44.05,0.831,0
"BALE006","2018-01-02 14:00:00",16.96,16.96,16.96,41.16,41.16,41.16,0.791,0
"BALE006","2018-01-02 15:00:00",17.18,17.18,17.18,43.5,43.5,43.5,0.676,0
"BALE006","2018-01-02 16:00:00",17.7,17.7,17.7,43.28,43.28,43.28,0.516,0
"BALE006","2018-01-02 17:00:00",17.14,17.14,17.14,44.21,44.21,44.21,0.325,0
"BALE006","2018-01-02 18:00:00",15.54,15.54,15.54,54.3,54.3,54.3,0.113,0
"BALE006","2018-01-02 19:00:00",11.14,11.14,11.14,71.32,71.32,71.32,0.003,0
"BALE006","2018-01-02 20:00:00",10.7,10.7,10.7,62.01,62.01,62.01,0,0
"BALE006","2018-01-02 21:00:00",11.18,11.18,11.18,55.59,55.59,55.59,0,0
"BALE006","2018-01-02 22:00:00",10.72,10.72,10.72,53.83,53.83,53.83,0,0
"BALE006","2018-01-02 23:00:00",10.3,10.3,10.3,50.87,50.87,50.87,0,0
"BALE006","2018-01-03 00:00:00",8.89,8.89,8.89,68.33,68.33,68.33,0,0
"BALE006","2018-01-03 01:00:00",6.23,6.23,6.23,76.68,76.68,76.68,0,0
"BALE006","2018-01-03 02:00:00",6.59,6.59,6.59,76.44,76.44,76.44,0,0
"BALE006","2018-01-03 03:00:00",7.32,7.32,7.32,62.71,62.71,62.71,0,0
"BALE006","2018-01-03 04:00:00",7.7,7.7,7.7,65.89,65.89,65.89,0,0
"BALE006","2018-01-03 05:00:00",6.54,6.54,6.54,73.62,73.62,73.62,0,0
"BALE006","2018-01-03 06:00:00",5.41,5.41,5.41,77.62,77.62,77.62,0,0
"BALE006","2018-01-03 07:00:00",3.29,3.29,3.29,82.8,82.8,82.8,0.004,0
"BALE006","2018-01-03 08:00:00",6.17,6.17,6.17,53.09,53.09,53.09,0.096,0
"BALE006","2018-01-03 09:00:00",12.07,12.07,12.07,46.12,46.12,46.12,0.316,0
"BALE006","2018-01-03 10:00:00",14.15,14.15,14.15,45.18,45.18,45.18,0.512,0
"BALE006","2018-01-03 11:00:00",15.16,15.16,15.16,43.68,43.68,43.68,0.677,0
"BALE006","2018-01-03 12:00:00",15.97,15.97,15.97,45.31,45.31,45.31,0.789,0
"BALE006","2018-01-03 13:00:00",16.68,16.68,16.68,42.06,42.06,42.06,0.832,0
"BALE006","2018-01-03 14:00:00",17.53,17.53,17.53,39.78,39.78,39.78,0.793,0
"BALE006","2018-01-03 15:00:00",17.96,17.96,17.96,38.81,38.81,38.81,0.683,0
"BALE006","2018-01-03 16:00:00",18.37,18.37,18.37,40.49,40.49,40.49,0.522,0
"BALE006","2018-01-03 17:00:00",18.29,18.29,18.29,41.77,41.77,41.77,0.32,0
"BALE006","2018-01-03 18:00:00",16.06,16.06,16.06,49.57,49.57,49.57,0.109,0
"BALE006","2018-01-03 19:00:00",11.5,11.5,11.5,69.94,69.94,69.94,0.003,0
"BALE006","2018-01-03 20:00:00",8.67,8.67,8.67,72.43,72.43,72.43,0,0
"BALE006","2018-01-03 21:00:00",8.72,8.72,8.72,72.03,72.03,72.03,0,0
"BALE006","2018-01-03 22:00:00",8.35,8.35,8.35,70.11,70.11,70.11,0,0
"BALE006","2018-01-03 23:00:00",7.32,7.32,7.32,71.26,71.26,71.26,0,0
"BALE006","2018-01-04 00:00:00",6.87,6.87,6.87,69.31,69.31,69.31,0,0
"BALE006","2018-01-04 01:00:00",6.08,6.08,6.08,70.94,70.94,70.94,0,0
"BALE006","2018-01-04 02:00:00",5.79,5.79,5.79,73.33,73.33,73.33,0,0
"BALE006","2018-01-04 03:00:00",5.54,5.54,5.54,76.87,76.87,76.87,0,0
"BALE006","2018-01-04 04:00:00",4.49,4.49,4.49,76.11,76.11,76.11,0,0
"BALE006","2018-01-04 05:00:00",3.14,3.14,3.14,83.1,83.1,83.1,0,0
"BALE006","2018-01-04 06:00:00",2.95,2.95,2.95,84.9,84.9,84.9,0,0
"BALE006","2018-01-04 07:00:00",2.92,2.92,2.92,83.2,83.2,83.2,0.004,0
"BALE006","2018-01-04 08:00:00",7.23,7.23,7.23,54.98,54.98,54.98,0.087,0
"BALE006","2018-01-04 09:00:00",12.59,12.59,12.59,47.33,47.33,47.33,0.315,0
"BALE006","2018-01-04 10:00:00",13.86,13.86,13.86,41.99,41.99,41.99,0.424,0
"BALE006","2018-01-04 11:00:00",15.12,15.12,15.12,46.74,46.74,46.74,0.659,0
"BALE006","2018-01-04 12:00:00",15.42,15.42,15.42,45.29,45.29,45.29,0.757,0
"BALE006","2018-01-04 13:00:00",16.71,16.71,16.71,45.93,45.93,45.93,0.813,0
"BALE006","2018-01-04 14:00:00",17.26,17.26,17.26,47.35,47.35,47.35,0.783,0
"BALE006","2018-01-04 15:00:00",17.98,17.98,17.98,44.77,44.77,44.77,0.647,0
"BALE006","2018-01-04 16:00:00",17.54,17.54,17.54,43.37,43.37,43.37,0.43,0
"BALE006","2018-01-04 17:00:00",17.66,17.66,17.66,42.85,42.85,42.85,0.333,0
"BALE006","2018-01-04 18:00:00",14.95,14.95,14.95,47.81,47.81,47.81,0.073,0
"BALE006","2018-01-04 19:00:00",12.43,12.43,12.43,61.69,61.69,61.69,0.002,0
"BALE006","2018-01-04 20:00:00",10.83,10.83,10.83,63.86,63.86,63.86,0,0
"BALE006","2018-01-04 21:00:00",10.43,10.43,10.43,64.3,64.3,64.3,0,0
"BALE006","2018-01-04 22:00:00",9.81,9.81,9.81,66.96,66.96,66.96,0,0
"BALE006","2018-01-04 23:00:00",9.12,9.12,9.12,71.62,71.62,71.62,0,0
"BALE006","2018-01-05 00:00:00",6.75,6.75,6.75,71.96,71.96,71.96,0,0
"BALE006","2018-01-05 01:00:00",5.96,5.96,5.96,74.81,74.81,74.81,0,0
"BALE006","2018-01-05 02:00:00",6.74,6.74,6.74,74.01,74.01,74.01,0,0
"BALE006","2018-01-05 03:00:00",6.2,6.2,6.2,75.28,75.28,75.28,0,0
"BALE006","2018-01-05 04:00:00",5.55,5.55,5.55,75.12,75.12,75.12,0,0
"BALE006","2018-01-05 05:00:00",4.73,4.73,4.73,79.29,79.29,79.29,0,0
"BALE006","2018-01-05 06:00:00",5.48,5.48,5.48,79.44,79.44,79.44,0,0
"BALE006","2018-01-05 07:00:00",5.15,5.15,5.15,76.83,76.83,76.83,0.005,0
"BALE006","2018-01-05 08:00:00",7.78,7.78,7.78,66.22,66.22,66.22,0.084,0
"BALE006","2018-01-05 09:00:00",11.97,11.97,11.97,34.41,34.41,34.41,0.267,0
"BALE006","2018-01-05 10:00:00",13.49,13.49,13.49,38.78,38.78,38.78,0.387,0
"BALE006","2018-01-05 11:00:00",14.99,14.99,14.99,40.57,40.57,40.57,0.656,0
"BALE006","2018-01-05 12:00:00",15.51,15.51,15.51,41.89,41.89,41.89,0.776,0
"BALE006","2018-01-05 13:00:00",16.15,16.15,16.15,39.49,39.49,39.49,0.82,0
"BALE006","2018-01-05 14:00:00",17.08,17.08,17.08,42.2,42.2,42.2,0.784,0
"BALE006","2018-01-05 15:00:00",17.61,17.61,17.61,39.99,39.99,39.99,0.674,0
"BALE006","2018-01-05 16:00:00",18.27,18.27,18.27,38.2,38.2,38.2,0.519,0
"BALE006","2018-01-05 17:00:00",17.61,17.61,17.61,36.48,36.48,36.48,0.315,0
"BALE006","2018-01-05 18:00:00",15.67,15.67,15.67,45.58,45.58,45.58,0.112,0
"BALE006","2018-01-05 19:00:00",11.71,11.71,11.71,66.71,66.71,66.71,0.005,0
"BALE006","2018-01-05 20:00:00",9.55,9.55,9.55,64.57,64.57,64.57,0,0
"BALE006","2018-01-05 21:00:00",9.52,9.52,9.52,64.96,64.96,64.96,0,0
"BALE006","2018-01-05 22:00:00",9.26,9.26,9.26,51.97,51.97,51.97,0,0
"BALE006","2018-01-05 23:00:00",9.87,9.87,9.87,61.94,61.94,61.94,0,0
"BALE006","2018-01-06 00:00:00",8.01,8.01,8.01,63.04,63.04,63.04,0,0
"BALE006","2018-01-06 01:00:00",8.84,8.84,8.84,51.99,51.99,51.99,0,0
"BALE006","2018-01-06 02:00:00",7.57,7.57,7.57,65.98,65.98,65.98,0,0
