"plot","datetime","Ta_200","Ta_200_min","Ta_200_max","rH_200","rH_200_min","rH_200_max","SWDR_200","P_RT_NRT"
"BALE008","2018-01-03 16:00:00",12.84,12.84,12.84,40.41,40.41,40.41,0.333,0
"BALE008","2018-01-03 17:00:00",12.13,12.13,12.13,41.82,41.82,41.82,0.179,0
"BALE008","2018-01-03 18:00:00",10.61,10.61,10.61,47.78,47.78,47.78,0.054,0
"BALE008","2018-01-03 19:00:00",7.46,7.46,7.46,56.77,56.77,56.77,0.002,0
"BALE008","2018-01-03 20:00:00",5.89,5.89,5.89,61.8,61.8,61.8,0,0
"BALE008","2018-01-03 21:00:00",4.6,4.6,4.6,63.44,63.44,63.44,0,0
"BALE008","2018-01-03 22:00:00",3.78,3.78,3.78,67.68,67.68,67.68,0,0
"BALE008","2018-01-03 23:00:00",3.36,3.36,3.36,69.12,69.12,69.12,0,0
"BALE008","2018-01-04 00:00:00",2.7,2.7,2.7,71.58,71.58,71.58,0,0
"BALE008","2018-01-04 01:00:00",1.21,1.21,1.21,81.69,81.69,81.69,0,0
"BALE008","2018-01-04 02:00:00",0.12,0.12,0.12,86.3,86.3,86.3,0,0
"BALE008","2018-01-04 03:00:00",0.31,0.31,0.31,79.48,79.48,79.48,0,0
"BALE008","2018-01-04 04:00:00",0.36,0.36,0.36,83.8,83.8,83.8,0,0
"BALE008","2018-01-04 05:00:00",0.27,0.27,0.27,84.9,84.9,84.9,0,0
"BALE008","2018-01-04 06:00:00",0.13,0.13,0.13,81.3,81.3,81.3,0,0
"BALE008","2018-01-04 07:00:00",0.64,0.64,0.64,81.69,81.69,81.69,0.009,0
"BALE008","2018-01-04 08:00:00",3.79,3.79,3.79,58.17,58.17,58.17,0.153,0
"BALE008","2018-01-04 09:00:00",9.5,9.5,9.5,54.42,54.42,54.42,0.391,0
"BALE008","2018-01-04 10:00:00",10.7,10.7,10.7,51.6,51.6,51.6,0.366,0
"BALE008","2018-01-04 11:00:00",10.89,10.89,10.89,47.35,47.35,47.35,0.388,0
"BALE008","2018-01-04 12:00:00",12.17,12.17,12.17,42.27,42.27,42.27,0.614,0
"BALE008","2018-01-04 13:00:00",12.33,12.33,12.33,42.43,42.43,42.43,0.474,0
"BALE008","2018-01-04 14:00:00",12.91,12.91,12.91,38.63,38.63,38.63,0.545,0
"BALE008","2018-01-04 15:00:00",13.01,13.01,13.01,39.33,39.33,39.33,0.411,0
"BALE008","2018-01-04 16:00:00",12.13,12.13,12.13,46.06,46.06,46.06,0.173,0
"BALE008","2018-01-04 17:00:00",11.21,11.21,11.21,50.19,50.19,50.19,0.075,0
"BALE008","2018-01-04 18:00:00",10.43,10.43,10.43,52.69,52.69,52.69,0.029,0
"BALE008","2018-01-04 19:00:00",9.39,9.39,9.39,54.49,54.49,54.49,0.001,0
"BALE008","2018-01-04 20:00:00",7.21,7.21,7.21,63.1,63.1,63.1,0,0
"BALE008","2018-01-04 21:00:00",5.56,5.56,5.56,66.06,66.06,66.06,0,0
"BALE008","2018-01-04 22:00:00",5.85,5.85,5.85,64.08,64.08,64.08,0,0
"BALE008","2018-01-04 23:00:00",5.83,5.83,5.83,65.54,65.54,65.54,0,0
"BALE008","2018-01-05 00:00:00",5.07,5.07,5.07,73.19,73.19,73.19,0,0
"BALE008","2018-01-05 01:00:00",3.08,3.08,3.08,72.72,72.72,72.72,0,0
"BALE008","2018-01-05 02:00:00",2.14,2.14,2.14,75.12,75.12,75.12,0,0
"BALE008","2018-01-05 03:00:00",1.96,1.96,1.96,85.1,85.1,85.1,0,0
"BALE008","2018-01-05 04:00:00",1.5,1.5,1.5,85.3,85.3,85.3,0,0
"BALE008","2018-01-05 05:00:00",0.3,0.3,0.3,87.6,87.6,87.6,0,0
"BALE008","2018-01-05 06:00:00",0.83,0.83,0.83,84,84,84,0,0
"BALE008","2018-01-05 07:00:00",1.01,1.01,1.01,85.9,85.9,85.9,0.008,0
"BALE008","2018-01-05 08:00:00",2.55,2.55,2.55,77.87,77.87,77.87,0.073,0
"BALE008","2018-01-05 09:00:00",6.98,6.98,6.98,66.33,66.33,66.33,0.231,0
"BALE008","2018-01-05 10:00:00",8.43,8.43,8.43,57,57,57,0.364,0
"BALE008","2018-01-05 11:00:00",10.34,10.34,10.34,54.17,54.17,54.17,0.615,0
"BALE008","2018-01-05 12:00:00",11.54,11.54,11.54,51.59,51.59,51.59,0.46,0
"BALE008","2018-01-05 13:00:00",11.31,11.31,11.31,49.15,49.15,49.15,0.369,0
"BALE008","2018-01-05 14:00:00",13.17,13.17,13.17,41.64,41.64,41.64,0.757,0
"BALE008","2018-01-05 15:00:00",12.75,12.75,12.75,42.8,42.8,42.8,0.527,0
"BALE008","2018-01-05 16:00:00",12.32,12.32,12.32,46.99,46.99,46.99,0.334,0
"BALE008","2018-01-05 17:00:00",11.08,11.08,11.08,49,49,49,0.108,0
"BALE008","2018-01-05 18:00:00",9.99,9.99,9.99,55,55,55,0.049,0
"BALE008","2018-01-05 19:00:00",8.39,8.39,8.39,55.86,55.86,55.86,0.002,0
"BALE008","2018-01-05 20:00:00",6.46,6.46,6.46,60.02,60.02,60.02,0,0
"BALE008","2018-01-05 21:00:00",5.39,5.39,5.39,60.14,60.14,60.14,0,0
"BALE008","2018-01-05 22:00:00",5.2,5.2,5.2,62.12,62.12,62.12,0,0
"BALE008","2018-01-05 23:00:00",4.99,4.99,4.99,68.68,68.68,68.68,0,0
"BALE008","2018-01-06 00:00:00",3.39,3.39,3.39,70.94,70.94,70.94,0,0
"BALE008","2018-01-06 01:00:00",2.36,2.36,2.36,75.51,75.51,75.51,0,0
"BALE008","2018-01-06 02:00:00",1.75,1.75,1.75,74.76,74.76,74.76,0,0
"BALE008","2018-01-06 03:00:00",0.56,0.56,0.56,84.5,84.5,84.5,0,0
"BALE008","2018-01-06 04:00:00",-0.03,-0.03,-0.03,81.8,81.8,81.8,0,0
"BALE008","2018-01-06 05:00:00",-0.53,-0.53,-0.53,83.7,83.7,83.7,0,0
"BALE008","2018-01-06 06:00:00",-0.66,-0.66,-0.66,85.2,85.2,85.2,0,0
"BALE008","2018-01-06 07:00:00",-0.66,-0.66,-0.66,83.5,83.5,83.5,0.01,0
"BALE008","2018-01-06 08:00:00",2.91,2.91,2.91,65.54,65.54,65.54,0.158,0
"BALE008","2018-01-06 09:00:00",8.52,8.52,8.52,52.04,52.04,52.04,0.385,0
"BALE008","2018-01-06 10:00:00",9.88,9.88,9.88,52.39,52.39,52.39,0.423,0
"BALE008","2018-01-06 11:00:00",11.19,11.19,11.19,46.31,46.31,46.31,0.67,0
"BALE008","2018-01-06 12:00:00",12.19,12.19,12.19,44.19,44.19,44.19,0.608,0
"BALE008","2018-01-06 13:00:00",12.36,12.36,12.36,41.44,41.44,41.44,0.666,0
"BALE008","2018-01-06 14:00:00",12.14,12.14,12.14,41.42,41.42,41.42,0.343,0
"BALE008","2018-01-06 15:00:00",12.15,12.15,12.15,40.31,40.31,40.31,0.273,0
"BALE008","2018-01-06 16:00:00",11.58,11.58,11.58,43.75,43.75,43.75,0.171,0
"BALE008","2018-01-06 17:00:00",11,11,11,47.09,47.09,47.09,0.107,0
"BALE008","2018-01-06 18:00:00",9.88,9.88,9.88,49.58,49.58,49.58,0.043,0
"BALE008","2018-01-06 19:00:00",8.74,8.74,8.74,54.82,54.82,54.82,0.002,0
"BALE008","2018-01-06 20:00:00",7.79,7.79,7.79,59.18,59.18,59.18,0,0
"BALE008","2018-01-06 21:00:00",5.95,5.95,5.95,66.62,66.62,66.62,0,0
"BALE008","2018-01-06 22:00:00",5.3,5.3,5.3,63.08,63.08,63.08,0,0
"BALE008","2018-01-06 23:00:00",5.41,5.41,5.41,68.85,68.85,68.85,0,0
"BALE008","2018-01-07 00:00:00",4.67,4.67,4.67,70.74,70.74,70.74,0,0
"BALE008","2018-01-07 01:00:00",3.92,3.92,3.92,75.67,75.67,75.67,0,0
"BALE008","2018-01-07 02:00:00",2.68,2.68,2.68,79.5,79.5,79.5,0,0
"BALE008","2018-01-07 03:00:00",1.38,1.38,1.38,83.6,83.6,83.6,0,0
"BALE008","2018-01-07 04:00:00",0.79,0.79,0.79,85.5,85.5,85.5,0,0
"BALE008","2018-01-07 05:00:00",0.47,0.47,0.47,84.5,84.5,84.5,0,0
"BALE008","2018-01-07 06:00:00",0.62,0.62,0.62,88.9,88.9,88.9,0,0
"BALE008","2018-01-07 07:00:00",0.34,0.34,0.34,86.4,86.4,86.4,0.008,0
"BALE008","2018-01-07 08:00:00",3.1,3.1,3.1,65.79,65.79,65.79,0.156,0
"BALE008","2018-01-07 09:00:00",8.25,8.25,8.25,58.44,58.44,58.44,0.385,0
"BALE008","2018-01-07 10:00:00",10.07,10.07,10.07,46.66,46.66,46.66,0.561,0
"BALE008","2018-01-07 11:00:00",11.41,11.41,11.41,45.21,45.21,45.21,0.709,0
"BALE008","2018-01-07 12:00:00",12.22,12.22,12.22,43.89,43.89,43.89,0.953,0
"BALE008","2018-01-07 13:00:00",12.78,12.78,12.78,45.47,45.47,45.47,0.89,0
"BALE008","2018-01-07 14:00:00",13.23,13.23,13.23,45.85,45.85,45.85,0.762,0
"BALE008","2018-01-07 15:00:00",13.22,13.22,13.22,38.74,38.74,38.74,0.592,0
"BALE008","2018-01-07 16:00:00",13.09,13.09,13.09,40.66,40.66,40.66,0.505,0
"BALE008","2018-01-07 17:00:00",12.02,12.02,12.02,45.8,45.8,45.8,0.207,0
"BALE008","2018-01-07 18:00:00",10.46,10.46,10.46,50.66,50.66,50.66,0.052,0
"BALE008","2018-01-07 19:00:00",8.79,8.79,8.79,61.59,61.59,61.59,0.002,0
"BALE008","2018-01-07 20:00:00",6.84,6.84,6.84,71.19,71.19,71.19,0,0
"BALE008","2018-01-07 21:00:00",5.08,5.08,5.08,74.23,74.23,74.23,0,0
"BALE008","2018-01-07 22:00:00",4.35,4.35,4.35,74.75,74.75,74.75,0,0
"BALE008","2018-01-07 23:00:00",4.84,4.84,4.84,76.94,76.94,76.94,0,0
"BALE008","2018-01-08 00:00:00",4.98,4.98,4.98,79.08,79.08,79.08,0,0
"BALE008","2018-01-08 01:00:00",4.86,4.86,4.86,80.8,80.8,80.8,0,0
"BALE008","2018-01-08 02:00:00",2.94,2.94,2.94,88.4,88.4,88.4,0,0
"BALE008","2018-01-08 03:00:00",2.27,2.27,2.27,88.1,88.1,88.1,0,0
"BALE008","2018-01-08 04:00:00",1.11,1.11,1.11,89.2,89.2,89.2,0,0
"BALE008","2018-01-08 05:00:00",-0.33,-0.33,-0.33,95.9,95.9,95.9,0,0
"BALE008","2018-01-08 06:00:00",-0.33,-0.33,-0.33,93.9,93.9,93.9,0,0
"BALE008","2018-01-08 07:00:00",-1.14,-1.14,-1.14,91.1,91.1,91.1,0.009,0
"BALE008","2018-01-08 08:00:00",3.81,3.81,3.81,70.99,70.99,70.99,0.156,0
"BALE008","2018-01-08 09:00:00",8.68,8.68,8.68,62.23,62.23,62.23,0.376,0
"BALE008","2018-01-08 10:00:00",9.88,9.88,9.88,58.28,58.28,58.28,0.406,0
"BALE008","2018-01-08 11:00:00",10.67,10.67,10.67,53.69,53.69,53.69,0.418,0
"BALE008","2018-01-08 12:00:00",11.93,11.93,11.93,48.75,48.75,48.75,0.666,0
"BALE008","2018-01-08 13:00:00",11.63,11.63,11.63,53.08,53.08,53.08,0.431,0
"BALE008","2018-01-08 14:00:00",10.8,10.8,10.8,53.31,53.31,53.31,0.199,0
"BALE008","2018-01-08 15:00:00",10.96,10.96,10.96,53.5,53.5,53.5,0.25,0
"BALE008","2018-01-08 16:00:00",10.81,10.81,10.81,55.33,55.33,55.33,0.177,0
"BALE008","2018-01-08 17:00:00",10.57,10.57,10.57,54.53,54.53,54.53,0.127,0
"BALE008","2018-01-08 18:00:00",9.64,9.64,9.64,59,59,59,0.034,0
"BALE008","2018-01-08 19:00:00",8.27,8.27,8.27,65.19,65.19,65.19,0.001,0
"BALE008","2018-01-08 20:00:00",7.51,7.51,7.51,66.08,66.08,66.08,0,0
"BALE008","2018-01-08 21:00:00",7.26,7.26,7.26,73.19,73.19,73.19,0,0
"BALE008","2018-01-08 22:00:00",7.06,7.06,7.06,76.58,76.58,76.58,0,0
"BALE008","2018-01-08 23:00:00",6.56,6.56,6.56,78.51,78.51,78.51,0,0
"BALE008","2018-01-09 00:00:00",6.68,6.68,6.68,74.87,74.87,74.87,0,0
"BALE008","2018-01-09 01:00:00",5.81,5.81,5.81,83.9,83.9,83.9,0,0
"BALE008","2018-01-09 02:00:00",4.4,4.4,4.4,80.5,80.5,80.5,0,0
"BALE008","2018-01-09 03:00:00",4.72,4.72,4.72,82.8,82.8,82.8,0,0
"BALE008","2018-01-09 04:00:00",3.84,3.84,3.84,85.4,85.4,85.4,0,0
"BALE008","2018-01-09 05:00:00",3.97,3.97,3.97,84,84,84,0,0
"BALE008","2018-01-09 06:00:00",4.53,4.53,4.53,78.35,78.35,78.35,0,0
"BALE008","2018-01-09 07:00:00",3.81,3.81,3.81,76.72,76.72,76.72,0.011,0
"BALE008","2018-01-09 08:00:00",5.46,5.46,5.46,73.6,73.6,73.6,0.071,0
"BALE008","2018-01-09 09:00:00",7.75,7.75,7.75,61.69,61.69,61.69,0.253,0
"BALE008","2018-01-09 10:00:00",9.51,9.51,9.51,62.04,62.04,62.04,0.259,0
"BALE008","2018-01-09 11:00:00",10.82,10.82,10.82,58.47,58.47,58.47,0.467,0
"BALE008","2018-01-09 12:00:00",10.93,10.93,10.93,63.57,63.57,63.57,0.378,0
"BALE008","2018-01-09 13:00:00",9.43,9.43,9.43,61.67,61.67,61.67,0.126,0
"BALE008","2018-01-09 14:00:00",11.46,11.46,11.46,53.44,53.44,53.44,0.353,0
"BALE008","2018-01-09 15:00:00",11.22,11.22,11.22,57.76,57.76,57.76,0.178,0
"BALE008","2018-01-09 16:00:00",9.78,9.78,9.78,64.65,64.65,64.65,0.054,0
"BALE008","2018-01-09 17:00:00",9.6,9.6,9.6,60.6,60.6,60.6,0.091,0
"BALE008","2018-01-09 18:00:00",9.51,9.51,9.51,64.83,64.83,64.83,0.046,0
"BALE008","2018-01-09 19:00:00",8.17,8.17,8.17,84.4,84.4,84.4,0.001,0
"BALE008","2018-01-09 20:00:00",6.83,6.83,6.83,92.4,92.4,92.4,0,0
"BALE008","2018-01-09 21:00:00",6.54,6.54,6.54,89.1,89.1,89.1,0,0.2
"BALE008","2018-01-09 22:00:00",6.54,6.54,6.54,88.8,88.8,88.8,0,0
"BALE008","2018-01-09 23:00:00",6.13,6.13,6.13,89.2,89.2,89.2,0,0
"BALE008","2018-01-10 00:00:00",6.06,6.06,6.06,92.2,92.2,92.2,0,0
"BALE008","2018-01-10 01:00:00",5.78,5.78,5.78,96,96,96,0,0.2
"BALE008","2018-01-10 02:00:00",5.2,5.2,5.2,95.8,95.8,95.8,0,0.2
"BALE008","2018-01-10 03:00:00",5.21,5.21,5.21,92.7,92.7,92.7,0,0
