"plot","datetime","Ta_200","Ta_200_min","Ta_200_max","rH_200","rH_200_min","rH_200_max","SWDR_200","P_RT_NRT"
"BALE009","2018-01-01 00:00:00",-1.1,-1.1,-1.1,60.02,60.02,60.02,0,0
"BALE009","2018-01-01 01:00:00",-0.86,-0.86,-0.86,70.61,70.61,70.61,0,0
"BALE009","2018-01-01 02:00:00",-2.09,-2.09,-2.09,74.22,74.22,74.22,0,0
"BALE009","2018-01-01 03:00:00",-2.95,-2.95,-2.95,69.32,69.32,69.32,0,0
"BALE009","2018-01-01 04:00:00",-1.97,-1.97,-1.97,70.03,70.03,70.03,0,0
"BALE009","2018-01-01 05:00:00",-1.01,-1.01,-1.01,67.87,67.87,67.87,0,0
"BALE009","2018-01-01 06:00:00",-0.69,-0.69,-0.69,71.44,71.44,71.44,0,0
"BALE009","2018-01-01 07:00:00",0.4,0.4,0.4,66.16,66.16,66.16,0.019,0
"BALE009","2018-01-01 08:00:00",2.2,2.2,2.2,53.82,53.82,53.82,0.204,0
"BALE009","2018-01-01 09:00:00",4.83,4.83,4.83,34.34,34.34,34.34,0.437,0
"BALE009","2018-01-01 10:00:00",6.93,6.93,6.93,32.77,32.77,32.77,0.647,0
"BALE009","2018-01-01 11:00:00",8.52,8.52,8.52,34.84,34.84,34.84,0.811,0
"BALE009","2018-01-01 12:00:00",8.75,8.75,8.75,35.99,35.99,35.99,0.914,0
"BALE009","2018-01-01 13:00:00",8.99,8.99,8.99,36.34,36.34,36.34,0.944,0
"BALE009","2018-01-01 14:00:00",8.83,8.83,8.83,35.29,35.29,35.29,0.89,0
"BALE009","2018-01-01 15:00:00",8.87,8.87,8.87,39.54,39.54,39.54,0.763,0
"BALE009","2018-01-01 16:00:00",8.57,8.57,8.57,37.9,37.9,37.9,0.578,0
"BALE009","2018-01-01 17:00:00",7.59,7.59,7.59,38.81,38.81,38.81,0.36,0
"BALE009","2018-01-01 18:00:00",5.75,5.75,5.75,45.65,45.65,45.65,0.12,0
"BALE009","2018-01-01 19:00:00",3.05,3.05,3.05,54.74,54.74,54.74,0.002,0
"BALE009","2018-01-01 20:00:00",2.17,2.17,2.17,57.57,57.57,57.57,0,0
"BALE009","2018-01-01 21:00:00",1.1,1.1,1.1,56.48,56.48,56.48,0,0
"BALE009","2018-01-01 22:00:00",-0.23,-0.23,-0.23,56.19,56.19,56.19,0,0
"BALE009","2018-01-01 23:00:00",0.84,0.84,0.84,53,53,53,0,0
