"plot","datetime","Ta_200","Ta_200_min","Ta_200_max","rH_200","rH_200_min","rH_200_max","SWDR_200","P_RT_NRT"
"BALE005","2018-01-01 00:00:00",4.96,4.96,4.96,49.05,49.05,49.05,0,0
"BALE005","2018-01-01 01:00:00",4.41,4.41,4.41,49.66,49.66,49.66,0,0
"BALE005","2018-01-01 02:00:00",4.42,4.42,4.42,49.8,49.8,49.8,0,0
"BALE005","2018-01-01 03:00:00",4.28,4.28,4.28,49.07,49.07,49.07,0,0
"BALE005","2018-01-01 04:00:00",4.38,4.38,4.38,45.86,45.86,45.86,0,0
"BALE005","2018-01-01 05:00:00",4.86,4.86,4.86,49.03,49.03,49.03,0,0
"BALE005","2018-01-01 06:00:00",4.79,4.79,4.79,49.16,49.16,49.16,0,0
"BALE005","2018-01-01 07:00:00",4.63,4.63,4.63,49.04,49.04,49.04,0.011,0
"BALE005","2018-01-01 08:00:00",6.1,6.1,6.1,47.93,47.93,47.93,0.154,0
"BALE005","2018-01-01 09:00:00",7.61,7.61,7.61,45.23,45.23,45.23,0.407,0
"BALE005","2018-01-01 10:00:00",9.52,9.52,9.52,38.36,38.36,38.36,0.611,0
"BALE005","2018-01-01 11:00:00",10.75,10.75,10.75,37.34,37.34,37.34,0.668,0
"BALE005","2018-01-01 12:00:00",11.77,11.77,11.77,32.36,32.36,32.36,0.879,0
"BALE005","2018-01-01 13:00:00",12.76,12.76,12.76,31.73,31.73,31.73,0.911,0
"BALE005","2018-01-01 14:00:00",13.31,13.31,13.31,29.85,29.85,29.85,0.863,0
"BALE005","2018-01-01 15:00:00",13.69,13.69,13.69,26.54,26.54,26.54,0.752,0
"BALE005","2018-01-01 16:00:00",13.49,13.49,13.49,31.37,31.37,31.37,0.544,0
"BALE005","2018-01-01 17:00:00",12.72,12.72,12.72,39.57,39.57,39.57,0.307,0
"BALE005","2018-01-01 18:00:00",9.85,9.85,9.85,43.26,43.26,43.26,0.126,0
"BALE005","2018-01-01 19:00:00",7.44,7.44,7.44,39.28,39.28,39.28,0.003,0
"BALE005","2018-01-01 20:00:00",6.2,6.2,6.2,42.02,42.02,42.02,0,0
"BALE005","2018-01-01 21:00:00",5.61,5.61,5.61,41.26,41.26,41.26,0,0
"BALE005","2018-01-01 22:00:00",5.91,5.91,5.91,38.41,38.41,38.41,0,0
"BALE005","2018-01-01 23:00:00",5.95,5.95,5.95,40.54,40.54,40.54,0,0
"BALE005","2018-01-02 00:00:00",5.53,5.53,5.53,40.72,40.72,40.72,0,0
"BALE005","2018-01-02 01:00:00",4.85,4.85,4.85,44.21,44.21,44.21,0,0
"BALE005","2018-01-02 02:00:00",4.7,4.7,4.7,45.4,45.4,45.4,0,0
"BALE005","2018-01-02 03:00:00",4.59,4.59,4.59,48.44,48.44,48.44,0,0
"BALE005","2018-01-02 04:00:00",4.6,4.6,4.6,46.57,46.57,46.57,0,0
"BALE005","2018-01-02 05:00:00",4.44,4.44,4.44,47.25,47.25,47.25,0,0
"BALE005","2018-01-02 06:00:00",4.23,4.23,4.23,46.23,46.23,46.23,0,0
"BALE005","2018-01-02 07:00:00",4.27,4.27,4.27,46.87,46.87,46.87,0.01,0
"BALE005","2018-01-02 08:00:00",6.38,6.38,6.38,38.87,38.87,38.87,0.152,0
"BALE005","2018-01-02 09:00:00",8.8,8.8,8.8,38.24,38.24,38.24,0.398,0
"BALE005","2018-01-02 10:00:00",10.29,10.29,10.29,40.29,40.29,40.29,0.607,0
"BALE005","2018-01-02 11:00:00",9.85,9.85,9.85,45.36,45.36,45.36,0.653,0
"BALE005","2018-01-02 12:00:00",9.99,9.99,9.99,43.43,43.43,43.43,0.867,0
"BALE005","2018-01-02 13:00:00",11.14,11.14,11.14,37.95,37.95,37.95,0.902,0
"BALE005","2018-01-02 14:00:00",12.19,12.19,12.19,36.45,36.45,36.45,0.856,0
"BALE005","2018-01-02 15:00:00",13.05,13.05,13.05,32.48,32.48,32.48,0.741,0
"BALE005","2018-01-02 16:00:00",12.78,12.78,12.78,33.06,33.06,33.06,0.573,0
"BALE005","2018-01-02 17:00:00",12.82,12.82,12.82,32.23,32.23,32.23,0.367,0
"BALE005","2018-01-02 18:00:00",11.25,11.25,11.25,43.58,43.58,43.58,0.115,0
"BALE005","2018-01-02 19:00:00",7.46,7.46,7.46,45.66,45.66,45.66,0.002,0
"BALE005","2018-01-02 20:00:00",6.66,6.66,6.66,44.22,44.22,44.22,0,0
"BALE005","2018-01-02 21:00:00",6.05,6.05,6.05,45.74,45.74,45.74,0,0
"BALE005","2018-01-02 22:00:00",5.47,5.47,5.47,48.89,48.89,48.89,0,0
"BALE005","2018-01-02 23:00:00",4.47,4.47,4.47,56.78,56.78,56.78,0,0
"BALE005","2018-01-03 00:00:00",4.42,4.42,4.42,56.35,56.35,56.35,0,0
"BALE005","2018-01-03 01:00:00",4.77,4.77,4.77,55.13,55.13,55.13,0,0
"BALE005","2018-01-03 02:00:00",4.61,4.61,4.61,55.09,55.09,55.09,0,0
"BALE005","2018-01-03 03:00:00",4.19,4.19,4.19,59.44,59.44,59.44,0,0
