"plot","datetime","Ta_200","Ta_200_min","Ta_200_max","rH_200","rH_200_min","rH_200_max","SWDR_200","P_RT_NRT"
"BALE007","2018-01-01 00:00:00",4.1,4.1,4.1,62.15,62.15,62.15,0,0
"BALE007","2018-01-01 01:00:00",3.08,3.08,3.08,68.33,68.33,68.33,0,0
"BALE007","2018-01-01 02:00:00",2.72,2.72,2.72,64.72,64.72,64.72,0,0
"BALE007","2018-01-01 03:00:00",3.44,3.44,3.44,59.21,59.21,59.21,0,0
"BALE007","2018-01-01 04:00:00",3.35,3.35,3.35,63.63,63.63,63.63,0,0
"BALE007","2018-01-01 05:00:00",3.48,3.48,3.48,56.35,56.35,56.35,0,0
"BALE007","2018-01-01 06:00:00",4.58,4.58,4.58,59.29,59.29,59.29,0,0
"BALE007","2018-01-01 07:00:00",2.58,2.58,2.58,60.89,60.89,60.89,0.006,0
"BALE007","2018-01-01 08:00:00",7.15,7.15,7.15,40.15,40.15,40.15,0.167,0
"BALE007","2018-01-01 09:00:00",14.03,14.03,14.03,34.22,34.22,34.22,0.393,0
"BALE007","2018-01-01 10:00:00",17.16,17.16,17.16,27.15,27.15,27.15,0.605,0
"BALE007","2018-01-01 11:00:00",17.39,17.39,17.39,31.24,31.24,31.24,0.763,0
"BALE007","2018-01-01 12:00:00",17.79,17.79,17.79,28.75,28.75,28.75,0.867,0
"BALE007","2018-01-01 13:00:00",18.28,18.28,18.28,29.32,29.32,29.32,0.902,0
"BALE007","2018-01-01 14:00:00",18.66,18.66,18.66,26.25,26.25,26.25,0.859,0
"BALE007","2018-01-01 15:00:00",18.91,18.91,18.91,28.66,28.66,28.66,0.742,0
"BALE007","2018-01-01 16:00:00",19.03,19.03,19.03,28.38,28.38,28.38,0.561,0
"BALE007","2018-01-01 17:00:00",17.95,17.95,17.95,29.8,29.8,29.8,0.336,0
"BALE007","2018-01-01 18:00:00",15.49,15.49,15.49,31,31,31,0.122,0
"BALE007","2018-01-01 19:00:00",10.7,10.7,10.7,38.33,38.33,38.33,0.003,0
"BALE007","2018-01-01 20:00:00",8.43,8.43,8.43,42.21,42.21,42.21,0,0
"BALE007","2018-01-01 21:00:00",6.93,6.93,6.93,43.14,43.14,43.14,0,0
"BALE007","2018-01-01 22:00:00",5.15,5.15,5.15,52.37,52.37,52.37,0,0
"BALE007","2018-01-01 23:00:00",5.5,5.5,5.5,47.71,47.71,47.71,0,0
"BALE007","2018-01-02 00:00:00",5.7,5.7,5.7,49.93,49.93,49.93,0,0
"BALE007","2018-01-02 01:00:00",4.09,4.09,4.09,60.2,60.2,60.2,0,0
"BALE007","2018-01-02 02:00:00",2.68,2.68,2.68,69.39,69.39,69.39,0,0
"BALE007","2018-01-02 03:00:00",2.36,2.36,2.36,63.8,63.8,63.8,0,0
"BALE007","2018-01-02 04:00:00",3.34,3.34,3.34,58.71,58.71,58.71,0,0
"BALE007","2018-01-02 05:00:00",3.57,3.57,3.57,59.43,59.43,59.43,0,0
"BALE007","2018-01-02 06:00:00",3.51,3.51,3.51,59.66,59.66,59.66,0,0
"BALE007","2018-01-02 07:00:00",2.73,2.73,2.73,62.41,62.41,62.41,0.005,0
"BALE007","2018-01-02 08:00:00",6.89,6.89,6.89,41.86,41.86,41.86,0.159,0
"BALE007","2018-01-02 09:00:00",12.89,12.89,12.89,32.16,32.16,32.16,0.382,0
"BALE007","2018-01-02 10:00:00",15.5,15.5,15.5,29.14,29.14,29.14,0.591,0
"BALE007","2018-01-02 11:00:00",16.29,16.29,16.29,28.09,28.09,28.09,0.76,0
"BALE007","2018-01-02 12:00:00",16.98,16.98,16.98,30.34,30.34,30.34,0.865,0
"BALE007","2018-01-02 13:00:00",17.18,17.18,17.18,30.37,30.37,30.37,0.903,0
"BALE007","2018-01-02 14:00:00",17.75,17.75,17.75,28.96,28.96,28.96,0.858,0
"BALE007","2018-01-02 15:00:00",18.7,18.7,18.7,30.26,30.26,30.26,0.741,0
"BALE007","2018-01-02 16:00:00",18.7,18.7,18.7,29.32,29.32,29.32,0.562,0
"BALE007","2018-01-02 17:00:00",17.58,17.58,17.58,30.35,30.35,30.35,0.347,0
"BALE007","2018-01-02 18:00:00",14.41,14.41,14.41,36.91,36.91,36.91,0.091,0
"BALE007","2018-01-02 19:00:00",10.47,10.47,10.47,44.59,44.59,44.59,0.003,0
"BALE007","2018-01-02 20:00:00",7.51,7.51,7.51,49.85,49.85,49.85,0,0
"BALE007","2018-01-02 21:00:00",6.59,6.59,6.59,52,52,52,0,0
"BALE007","2018-01-02 22:00:00",6,6,6,58.75,58.75,58.75,0,0
"BALE007","2018-01-02 23:00:00",5.16,5.16,5.16,61.04,61.04,61.04,0,0
"BALE007","2018-01-03 00:00:00",4.54,4.54,4.54,68.37,68.37,68.37,0,0
"BALE007","2018-01-03 01:00:00",3.25,3.25,3.25,67.98,67.98,67.98,0,0
"BALE007","2018-01-03 02:00:00",3.97,3.97,3.97,67.66,67.66,67.66,0,0
"BALE007","2018-01-03 03:00:00",3.59,3.59,3.59,69.55,69.55,69.55,0,0
"BALE007","2018-01-03 04:00:00",3.59,3.59,3.59,61.57,61.57,61.57,0,0
"BALE007","2018-01-03 05:00:00",4.57,4.57,4.57,64.98,64.98,64.98,0,0
"BALE007","2018-01-03 06:00:00",4.73,4.73,4.73,66.56,66.56,66.56,0,0
"BALE007","2018-01-03 07:00:00",4.63,4.63,4.63,69.76,69.76,69.76,0.009,0
"BALE007","2018-01-03 08:00:00",8.79,8.79,8.79,51.31,51.31,51.31,0.14,0
"BALE007","2018-01-03 09:00:00",11.58,11.58,11.58,43.16,43.16,43.16,0.327,0
"BALE007","2018-01-03 10:00:00",14.39,14.39,14.39,35.29,35.29,35.29,0.579,0
"BALE007","2018-01-03 11:00:00",16.48,16.48,16.48,37.95,37.95,37.95,0.747,0
"BALE007","2018-01-03 12:00:00",17.27,17.27,17.27,30.59,30.59,30.59,0.87,0
"BALE007","2018-01-03 13:00:00",18.18,18.18,18.18,32.18,32.18,32.18,0.894,0
"BALE007","2018-01-03 14:00:00",17.87,17.87,17.87,29.93,29.93,29.93,0.769,0
"BALE007","2018-01-03 15:00:00",18.21,18.21,18.21,30.7,30.7,30.7,0.74,0
"BALE007","2018-01-03 16:00:00",18.07,18.07,18.07,32.21,32.21,32.21,0.535,0
"BALE007","2018-01-03 17:00:00",17.73,17.73,17.73,33.55,33.55,33.55,0.361,0
"BALE007","2018-01-03 18:00:00",14.59,14.59,14.59,43.88,43.88,43.88,0.108,0
"BALE007","2018-01-03 19:00:00",10.22,10.22,10.22,51.56,51.56,51.56,0.003,0
"BALE007","2018-01-03 20:00:00",8.26,8.26,8.26,58.5,58.5,58.5,0,0
"BALE007","2018-01-03 21:00:00",6.72,6.72,6.72,63.7,63.7,63.7,0,0
"BALE007","2018-01-03 22:00:00",6,6,6,70.25,70.25,70.25,0,0
"BALE007","2018-01-03 23:00:00",4.7,4.7,4.7,74.58,74.58,74.58,0,0
"BALE007","2018-01-04 00:00:00",4.56,4.56,4.56,72.85,72.85,72.85,0,0
"BALE007","2018-01-04 01:00:00",2.86,2.86,2.86,84.2,84.2,84.2,0,0
"BALE007","2018-01-04 02:00:00",2.56,2.56,2.56,82.5,82.5,82.5,0,0
"BALE007","2018-01-04 03:00:00",3.64,3.64,3.64,75.41,75.41,75.41,0,0
"BALE007","2018-01-04 04:00:00",4.11,4.11,4.11,74.03,74.03,74.03,0,0
"BALE007","2018-01-04 05:00:00",4.14,4.14,4.14,75.8,75.8,75.8,0,0
"BALE007","2018-01-04 06:00:00",3.9,3.9,3.9,72.71,72.71,72.71,0,0
"BALE007","2018-01-04 07:00:00",3.13,3.13,3.13,78.82,78.82,78.82,0.006,0
"BALE007","2018-01-04 08:00:00",6.65,6.65,6.65,59.43,59.43,59.43,0.137,0
"BALE007","2018-01-04 09:00:00",12.68,12.68,12.68,42.45,42.45,42.45,0.364,0
"BALE007","2018-01-04 10:00:00",16,16,16,42.2,42.2,42.2,0.542,0
"BALE007","2018-01-04 11:00:00",14.48,14.48,14.48,42.72,42.72,42.72,0.522,0
"BALE007","2018-01-04 12:00:00",16.33,16.33,16.33,38.88,38.88,38.88,0.679,0
"BALE007","2018-01-04 13:00:00",16.74,16.74,16.74,32.29,32.29,32.29,0.68,0
"BALE007","2018-01-04 14:00:00",18.21,18.21,18.21,31.14,31.14,31.14,0.766,0
"BALE007","2018-01-04 15:00:00",17.86,17.86,17.86,35.93,35.93,35.93,0.604,0
"BALE007","2018-01-04 16:00:00",18.09,18.09,18.09,41.93,41.93,41.93,0.503,0
"BALE007","2018-01-04 17:00:00",14.72,14.72,14.72,46.68,46.68,46.68,0.124,0
"BALE007","2018-01-04 18:00:00",13.12,13.12,13.12,46.76,46.76,46.76,0.032,0
"BALE007","2018-01-04 19:00:00",12.01,12.01,12.01,49.25,49.25,49.25,0.001,0
"BALE007","2018-01-04 20:00:00",10.7,10.7,10.7,52.66,52.66,52.66,0,0
"BALE007","2018-01-04 21:00:00",9.1,9.1,9.1,60.17,60.17,60.17,0,0
"BALE007","2018-01-04 22:00:00",7.93,7.93,7.93,64.26,64.26,64.26,0,0
"BALE007","2018-01-04 23:00:00",7.36,7.36,7.36,66.32,66.32,66.32,0,0
"BALE007","2018-01-05 00:00:00",6.97,6.97,6.97,69.19,69.19,69.19,0,0
"BALE007","2018-01-05 01:00:00",5.68,5.68,5.68,75.97,75.97,75.97,0,0
"BALE007","2018-01-05 02:00:00",4.24,4.24,4.24,79.26,79.26,79.26,0,0
"BALE007","2018-01-05 03:00:00",4.11,4.11,4.11,73.31,73.31,73.31,0,0
"BALE007","2018-01-05 04:00:00",2.71,2.71,2.71,80.19,80.19,80.19,0,0
"BALE007","2018-01-05 05:00:00",2.34,2.34,2.34,83.9,83.9,83.9,0,0
"BALE007","2018-01-05 06:00:00",3.76,3.76,3.76,77.76,77.76,77.76,0,0
"BALE007","2018-01-05 07:00:00",4.21,4.21,4.21,76.93,76.93,76.93,0.006,0
"BALE007","2018-01-05 08:00:00",7.13,7.13,7.13,48.24,48.24,48.24,0.101,0
"BALE007","2018-01-05 09:00:00",10.34,10.34,10.34,41.57,41.57,41.57,0.198,0
"BALE007","2018-01-05 10:00:00",12.29,12.29,12.29,34.84,34.84,34.84,0.375,0
"BALE007","2018-01-05 11:00:00",14.51,14.51,14.51,36.73,36.73,36.73,0.722,0
"BALE007","2018-01-05 12:00:00",15.62,15.62,15.62,33.28,33.28,33.28,0.864,0
"BALE007","2018-01-05 13:00:00",15.86,15.86,15.86,36.22,36.22,36.22,0.798,0
"BALE007","2018-01-05 14:00:00",17.03,17.03,17.03,36.75,36.75,36.75,0.809,0
"BALE007","2018-01-05 15:00:00",16.96,16.96,16.96,34.56,34.56,34.56,0.691,0
"BALE007","2018-01-05 16:00:00",16.21,16.21,16.21,38.23,38.23,38.23,0.355,0
"BALE007","2018-01-05 17:00:00",15.16,15.16,15.16,45.26,45.26,45.26,0.211,0
"BALE007","2018-01-05 18:00:00",13.3,13.3,13.3,43.85,43.85,43.85,0.074,0
"BALE007","2018-01-05 19:00:00",10.71,10.71,10.71,51.56,51.56,51.56,0.003,0
"BALE007","2018-01-05 20:00:00",7.91,7.91,7.91,61.04,61.04,61.04,0,0
