"plot","datetime","Ta_200","Ta_200_min","Ta_200_max","rH_200","rH_200_min","rH_200_max","SWDR_200","P_RT_NRT"
"BALE002","2018-01-01 00:00:00",1.74,1.74,1.74,51.79,51.79,51.79,0,0
"BALE002","2018-01-01 01:00:00",1.86,1.86,1.86,54.4,54.4,54.4,0,0
"BALE002","2018-01-01 02:00:00",1.13,1.13,1.13,58.52,58.52,58.52,0,0
"BALE002","2018-01-01 03:00:00",-0.27,-0.27,-0.27,63.83,63.83,63.83,0,0
"BALE002","2018-01-01 04:00:00",-0.34,-0.34,-0.34,64.1,64.1,64.1,0,0
"BALE002","2018-01-01 05:00:00",0.75,0.75,0.75,64.14,64.14,64.14,0,0
"BALE002","2018-01-01 06:00:00",0.21,0.21,0.21,66.22,66.22,66.22,0,0
"BALE002","2018-01-01 07:00:00",1.09,1.09,1.09,64.25,64.25,64.25,0.01,0
"BALE002","2018-01-01 08:00:00",3.9,3.9,3.9,50.58,50.58,50.58,0.118,0
"BALE002","2018-01-01 09:00:00",7.51,7.51,7.51,36.33,36.33,36.33,0.337,0
"BALE002","2018-01-01 10:00:00",9.85,9.85,9.85,32.59,32.59,32.59,0.583,0
"BALE002","2018-01-01 11:00:00",11.15,11.15,11.15,39.41,39.41,39.41,0.743,0
"BALE002","2018-01-01 12:00:00",11.96,11.96,11.96,45.87,45.87,45.87,0.843,0
"BALE002","2018-01-01 13:00:00",12.12,12.12,12.12,37.93,37.93,37.93,0.865,0
"BALE002","2018-01-01 14:00:00",12.49,12.49,12.49,53.16,53.16,53.16,0.824,0
"BALE002","2018-01-01 15:00:00",11.9,11.9,11.9,55.42,55.42,55.42,0.717,0
"BALE002","2018-01-01 16:00:00",11.6,11.6,11.6,59.49,59.49,59.49,0.542,0
"BALE002","2018-01-01 17:00:00",10.58,10.58,10.58,51.55,51.55,51.55,0.293,0
"BALE002","2018-01-01 18:00:00",8.64,8.64,8.64,41.62,41.62,41.62,0.108,0
"BALE002","2018-01-01 19:00:00",6.16,6.16,6.16,41.47,41.47,41.47,0.004,0
"BALE002","2018-01-01 20:00:00",5.11,5.11,5.11,45.99,45.99,45.99,0,0
"BALE002","2018-01-01 21:00:00",4.23,4.23,4.23,43.55,43.55,43.55,0,0
"BALE002","2018-01-01 22:00:00",2.92,2.92,2.92,49.74,49.74,49.74,0,0
"BALE002","2018-01-01 23:00:00",3.01,3.01,3.01,54.17,54.17,54.17,0,0
"BALE002","2018-01-02 00:00:00",2.83,2.83,2.83,48.28,48.28,48.28,0,0
"BALE002","2018-01-02 01:00:00",2.3,2.3,2.3,48.92,48.92,48.92,0,0
"BALE002","2018-01-02 02:00:00",1.85,1.85,1.85,50.46,50.46,50.46,0,0
"BALE002","2018-01-02 03:00:00",0.54,0.54,0.54,57.57,57.57,57.57,0,0
"BALE002","2018-01-02 04:00:00",-1.33,-1.33,-1.33,70.79,70.79,70.79,0,0
"BALE002","2018-01-02 05:00:00",-1.34,-1.34,-1.34,75.83,75.83,75.83,0,0
"BALE002","2018-01-02 06:00:00",-1.37,-1.37,-1.37,92.1,92.1,92.1,0,0
"BALE002","2018-01-02 07:00:00",-0.92,-0.92,-0.92,86,86,86,0.01,0
"BALE002","2018-01-02 08:00:00",4.36,4.36,4.36,66.04,66.04,66.04,0.121,0
"BALE002","2018-01-02 09:00:00",6.69,6.69,6.69,59.03,59.03,59.03,0.317,0
"BALE002","2018-01-02 10:00:00",7.49,7.49,7.49,61.42,61.42,61.42,0.559,0
"BALE002","2018-01-02 11:00:00",7.59,7.59,7.59,59.42,59.42,59.42,0.72,0
"BALE002","2018-01-02 12:00:00",8.43,8.43,8.43,58.92,58.92,58.92,0.829,0
"BALE002","2018-01-02 13:00:00",8.83,8.83,8.83,60.04,60.04,60.04,0.855,0
"BALE002","2018-01-02 14:00:00",9.09,9.09,9.09,58.35,58.35,58.35,0.82,0
"BALE002","2018-01-02 15:00:00",9.85,9.85,9.85,60.78,60.78,60.78,0.716,0
"BALE002","2018-01-02 16:00:00",9.53,9.53,9.53,57.66,57.66,57.66,0.542,0
"BALE002","2018-01-02 17:00:00",8.97,8.97,8.97,68.44,68.44,68.44,0.301,0
"BALE002","2018-01-02 18:00:00",6.92,6.92,6.92,73.19,73.19,73.19,0.099,0
"BALE002","2018-01-02 19:00:00",4.17,4.17,4.17,58.87,58.87,58.87,0.005,0
"BALE002","2018-01-02 20:00:00",4.55,4.55,4.55,55.5,55.5,55.5,0,0
"BALE002","2018-01-02 21:00:00",4.79,4.79,4.79,57.01,57.01,57.01,0,0
