"plot","datetime","Ta_200","Ta_200_min","Ta_200_max","rH_200","rH_200_min","rH_200_max","SWDR_200","P_RT_NRT"
"BALE001","2018-01-01 00:00:00",-1.73,-1.73,-1.73,63.21,63.21,63.21,0,0
"BALE001","2018-01-01 01:00:00",-1.83,-1.83,-1.83,68.9,68.9,68.9,0,0
"BALE001","2018-01-01 02:00:00",-1.99,-1.99,-1.99,64.65,64.65,64.65,0,0
"BALE001","2018-01-01 03:00:00",-1.53,-1.53,-1.53,67.18,67.18,67.18,0,0
"BALE001","2018-01-01 04:00:00",-1.55,-1.55,-1.55,68.81,68.81,68.81,0,0
"BALE001","2018-01-01 05:00:00",-1.77,-1.77,-1.77,73.75,73.75,73.75,0,0
"BALE001","2018-01-01 06:00:00",-2.04,-2.04,-2.04,77.87,77.87,77.87,0,0
"BALE001","2018-01-01 07:00:00",-2.46,-2.46,-2.46,81.6,81.6,81.6,0.012,0
"BALE001","2018-01-01 08:00:00",-1.69,-1.69,-1.69,71.37,71.37,71.37,0.171,0
"BALE001","2018-01-01 09:00:00",0.85,0.85,0.85,39.63,39.63,39.63,0.387,0
"BALE001","2018-01-01 10:00:00",3.56,3.56,3.56,33.82,33.82,33.82,0.63,0
"BALE001","2018-01-01 11:00:00",5.08,5.08,5.08,38.79,38.79,38.79,0.788,0
"BALE001","2018-01-01 12:00:00",5.9,5.9,5.9,39.99,39.99,39.99,0.882,0
"BALE001","2018-01-01 13:00:00",6.16,6.16,6.16,41.89,41.89,41.89,0.911,0
"BALE001","2018-01-01 14:00:00",6.48,6.48,6.48,39.8,39.8,39.8,0.869,0
"BALE001","2018-01-01 15:00:00",6.44,6.44,6.44,41.1,41.1,41.1,0.752,0
"BALE001","2018-01-01 16:00:00",6.29,6.29,6.29,43.49,43.49,43.49,0.563,0
"BALE001","2018-01-01 17:00:00",5.13,5.13,5.13,48.35,48.35,48.35,0.306,0
"BALE001","2018-01-01 18:00:00",3.25,3.25,3.25,48.73,48.73,48.73,0.1,0
"BALE001","2018-01-01 19:00:00",0.74,0.74,0.74,58.27,58.27,58.27,0.003,0
"BALE001","2018-01-01 20:00:00",-0.04,-0.04,-0.04,61.9,61.9,61.9,0,0
"BALE001","2018-01-01 21:00:00",-0.4,-0.4,-0.4,50.11,50.11,50.11,0,0
"BALE001","2018-01-01 22:00:00",-0.54,-0.54,-0.54,57.15,57.15,57.15,0,0
"BALE001","2018-01-01 23:00:00",-1.14,-1.14,-1.14,59.25,59.25,59.25,0,0
"BALE001","2018-01-02 00:00:00",-1.58,-1.58,-1.58,60.61,60.61,60.61,0,0
"BALE001","2018-01-02 01:00:00",-1.47,-1.47,-1.47,59,59,59,0,0
"BALE001","2018-01-02 02:00:00",-0.77,-0.77,-0.77,60.71,60.71,60.71,0,0
"BALE001","2018-01-02 03:00:00",-0.93,-0.93,-0.93,62.22,62.22,62.22,0,0
"BALE001","2018-01-02 04:00:00",-1.29,-1.29,-1.29,67,67,67,0,0
"BALE001","2018-01-02 05:00:00",-1.57,-1.57,-1.57,65.98,65.98,65.98,0,0
"BALE001","2018-01-02 06:00:00",-1.27,-1.27,-1.27,72.44,72.44,72.44,0,0
"BALE001","2018-01-02 07:00:00",-1.72,-1.72,-1.72,66.96,66.96,66.96,0.011,0
"BALE001","2018-01-02 08:00:00",-0.26,-0.26,-0.26,65.87,65.87,65.87,0.166,0
"BALE001","2018-01-02 09:00:00",1.23,1.23,1.23,64.62,64.62,64.62,0.373,0
"BALE001","2018-01-02 10:00:00",3.1,3.1,3.1,54.72,54.72,54.72,0.615,0
"BALE001","2018-01-02 11:00:00",4.29,4.29,4.29,51.81,51.81,51.81,0.782,0
"BALE001","2018-01-02 12:00:00",5.53,5.53,5.53,45.75,45.75,45.75,0.884,0
"BALE001","2018-01-02 13:00:00",6.09,6.09,6.09,43.45,43.45,43.45,0.909,0
"BALE001","2018-01-02 14:00:00",6.34,6.34,6.34,43.41,43.41,43.41,0.866,0
"BALE001","2018-01-02 15:00:00",6.4,6.4,6.4,47.75,47.75,47.75,0.742,0
"BALE001","2018-01-02 16:00:00",6.22,6.22,6.22,49.28,49.28,49.28,0.561,0
"BALE001","2018-01-02 17:00:00",4.59,4.59,4.59,58.55,58.55,58.55,0.208,0
"BALE001","2018-01-02 18:00:00",2.72,2.72,2.72,66.01,66.01,66.01,0.088,0
"BALE001","2018-01-02 19:00:00",0.44,0.44,0.44,74.04,74.04,74.04,0.005,0
"BALE001","2018-01-02 20:00:00",-0.61,-0.61,-0.61,77.21,77.21,77.21,0,0
"BALE001","2018-01-02 21:00:00",-0.59,-0.59,-0.59,74.74,74.74,74.74,0,0
"BALE001","2018-01-02 22:00:00",-1.12,-1.12,-1.12,72.97,72.97,72.97,0,0
"BALE001","2018-01-02 23:00:00",-1.57,-1.57,-1.57,72.29,72.29,72.29,0,0
"BALE001","2018-01-03 00:00:00",-1.84,-1.84,-1.84,72.94,72.94,72.94,0,0
"BALE001","2018-01-03 01:00:00",-1.7,-1.7,-1.7,80.1,80.1,80.1,0,0
"BALE001","2018-01-03 02:00:00",-1.48,-1.48,-1.48,78.65,78.65,78.65,0,0
"BALE001","2018-01-03 03:00:00",-1,-1,-1,80.1,80.1,80.1,0,0
"BALE001","2018-01-03 04:00:00",-1.87,-1.87,-1.87,92.1,92.1,92.1,0,0
"BALE001","2018-01-03 05:00:00",-2.2,-2.2,-2.2,98.6,98.6,98.6,0,0
