"plot","datetime","Ta_200","Ta_200_min","Ta_200_max","rH_200","rH_200_min","rH_200_max","SWDR_200","P_RT_NRT"
"BALE003","2018-01-01 00:00:00",2,2,2,56.64,56.64,56.64,0,0
"BALE003","2018-01-01 01:00:00",1.16,1.16,1.16,63.11,63.11,63.11,0,0
"BALE003","2018-01-01 02:00:00",0,0,0,64.56,64.56,64.56,0,0
"BALE003","2018-01-01 03:00:00",0.99,0.99,0.99,56.73,56.73,56.73,0,0
"BALE003","2018-01-01 04:00:00",2.48,2.48,2.48,51.33,51.33,51.33,0,0
"BALE003","2018-01-01 05:00:00",1.89,1.89,1.89,59.2,59.2,59.2,0,0
"BALE003","2018-01-01 06:00:00",1.73,1.73,1.73,69.69,69.69,69.69,0,0
"BALE003","2018-01-01 07:00:00",1.8,1.8,1.8,63.41,63.41,63.41,0.014,0
"BALE003","2018-01-01 08:00:00",3.42,3.42,3.42,49.9,49.9,49.9,0.175,0
"BALE003","2018-01-01 09:00:00",6.14,6.14,6.14,33.77,33.77,33.77,0.431,0
"BALE003","2018-01-01 10:00:00",8.64,8.64,8.64,34.09,34.09,34.09,0.647,0
"BALE003","2018-01-01 11:00:00",9.1,9.1,9.1,43.23,43.23,43.23,0.81,0
"BALE003","2018-01-01 12:00:00",8.76,8.76,8.76,42.67,42.67,42.67,0.917,0
"BALE003","2018-01-01 13:00:00",9.2,9.2,9.2,38.59,38.59,38.59,0.936,0
"BALE003","2018-01-01 14:00:00",9.58,9.58,9.58,35.41,35.41,35.41,0.882,0
"BALE003","2018-01-01 15:00:00",9.49,9.49,9.49,36.29,36.29,36.29,0.757,0
"BALE003","2018-01-01 16:00:00",9.51,9.51,9.51,35.68,35.68,35.68,0.579,0
"BALE003","2018-01-01 17:00:00",8.51,8.51,8.51,36.97,36.97,36.97,0.355,0
"BALE003","2018-01-01 18:00:00",6.52,6.52,6.52,48.37,48.37,48.37,0.129,0
"BALE003","2018-01-01 19:00:00",4.46,4.46,4.46,53.1,53.1,53.1,0.003,0
"BALE003","2018-01-01 20:00:00",3.68,3.68,3.68,52.35,52.35,52.35,0,0
"BALE003","2018-01-01 21:00:00",2.96,2.96,2.96,51.81,51.81,51.81,0,0
"BALE003","2018-01-01 22:00:00",2.7,2.7,2.7,48.92,48.92,48.92,0,0
"BALE003","2018-01-01 23:00:00",2.76,2.76,2.76,49.04,49.04,49.04,0,0
"BALE003","2018-01-02 00:00:00",2.36,2.36,2.36,50.75,50.75,50.75,0,0
"BALE003","2018-01-02 01:00:00",1.69,1.69,1.69,53.93,53.93,53.93,0,0
"BALE003","2018-01-02 02:00:00",1.79,1.79,1.79,55.38,55.38,55.38,0,0
"BALE003","2018-01-02 03:00:00",1.3,1.3,1.3,53.85,53.85,53.85,0,0
"BALE003","2018-01-02 04:00:00",1.24,1.24,1.24,57.27,57.27,57.27,0,0
"BALE003","2018-01-02 05:00:00",1.96,1.96,1.96,56.46,56.46,56.46,0,0
"BALE003","2018-01-02 06:00:00",0.98,0.98,0.98,60.79,60.79,60.79,0,0
"BALE003","2018-01-02 07:00:00",0.54,0.54,0.54,59.16,59.16,59.16,0.011,0
"BALE003","2018-01-02 08:00:00",4.25,4.25,4.25,47.8,47.8,47.8,0.163,0
"BALE003","2018-01-02 09:00:00",6.61,6.61,6.61,46.35,46.35,46.35,0.411,0
"BALE003","2018-01-02 10:00:00",7.36,7.36,7.36,47.88,47.88,47.88,0.629,0
"BALE003","2018-01-02 11:00:00",7.43,7.43,7.43,48.61,48.61,48.61,0.797,0
"BALE003","2018-01-02 12:00:00",7.86,7.86,7.86,46.57,46.57,46.57,0.91,0
"BALE003","2018-01-02 13:00:00",8.46,8.46,8.46,42.32,42.32,42.32,0.93,0
"BALE003","2018-01-02 14:00:00",8.99,8.99,8.99,42.5,42.5,42.5,0.882,0
"BALE003","2018-01-02 15:00:00",8.92,8.92,8.92,42.62,42.62,42.62,0.754,0
"BALE003","2018-01-02 16:00:00",8.92,8.92,8.92,46.38,46.38,46.38,0.562,0
"BALE003","2018-01-02 17:00:00",7.76,7.76,7.76,52.45,52.45,52.45,0.356,0
"BALE003","2018-01-02 18:00:00",5.88,5.88,5.88,61.06,61.06,61.06,0.127,0
"BALE003","2018-01-02 19:00:00",3.59,3.59,3.59,66.37,66.37,66.37,0.004,0
"BALE003","2018-01-02 20:00:00",2.86,2.86,2.86,67.37,67.37,67.37,0,0
"BALE003","2018-01-02 21:00:00",2.26,2.26,2.26,67.67,67.67,67.67,0,0
"BALE003","2018-01-02 22:00:00",2.22,2.22,2.22,60.93,60.93,60.93,0,0
"BALE003","2018-01-02 23:00:00",1.69,1.69,1.69,66.24,66.24,66.24,0,0
"BALE003","2018-01-03 00:00:00",1.16,1.16,1.16,71.99,71.99,71.99,0,0
"BALE003","2018-01-03 01:00:00",0.44,0.44,0.44,74.06,74.06,74.06,0,0
"BALE003","2018-01-03 02:00:00",0.53,0.53,0.53,71.81,71.81,71.81,0,0
"BALE003","2018-01-03 03:00:00",1.49,1.49,1.49,63,63,63,0,0
"BALE003","2018-01-03 04:00:00",1.69,1.69,1.69,72.8,72.8,72.8,0,0
"BALE003","2018-01-03 05:00:00",1.81,1.81,1.81,72.69,72.69,72.69,0,0
"BALE003","2018-01-03 06:00:00",1.8,1.8,1.8,71.01,71.01,71.01,0,0
"BALE003","2018-01-03 07:00:00",1.78,1.78,1.78,68.25,68.25,68.25,0.01,0
"BALE003","2018-01-03 08:00:00",3.36,3.36,3.36,58.08,58.08,58.08,0.157,0
"BALE003","2018-01-03 09:00:00",5.93,5.93,5.93,53.06,53.06,53.06,0.404,0
"BALE003","2018-01-03 10:00:00",7.11,7.11,7.11,51.42,51.42,51.42,0.624,0
"BALE003","2018-01-03 11:00:00",7.82,7.82,7.82,40.27,40.27,40.27,0.796,0
"BALE003","2018-01-03 12:00:00",8.16,8.16,8.16,48.05,48.05,48.05,0.905,0
"BALE003","2018-01-03 13:00:00",8.35,8.35,8.35,50.39,50.39,50.39,0.898,0
"BALE003","2018-01-03 14:00:00",8.72,8.72,8.72,47.66,47.66,47.66,0.884,0
"BALE003","2018-01-03 15:00:00",8.75,8.75,8.75,49.17,49.17,49.17,0.654,0
"BALE003","2018-01-03 16:00:00",8.79,8.79,8.79,46.16,46.16,46.16,0.52,0
"BALE003","2018-01-03 17:00:00",7.94,7.94,7.94,51.1,51.1,51.1,0.301,0
"BALE003","2018-01-03 18:00:00",6.39,6.39,6.39,61.52,61.52,61.52,0.128,0
"BALE003","2018-01-03 19:00:00",3.9,3.9,3.9,68.39,68.39,68.39,0.005,0
"BALE003","2018-01-03 20:00:00",3.15,3.15,3.15,71.57,71.57,71.57,0,0
"BALE003","2018-01-03 21:00:00",2.63,2.63,2.63,74.12,74.12,74.12,0,0
"BALE003","2018-01-03 22:00:00",2.22,2.22,2.22,76.62,76.62,76.62,0,0
"BALE003","2018-01-03 23:00:00",1.87,1.87,1.87,79.53,79.53,79.53,0,0
"BALE003","2018-01-04 00:00:00",1.44,1.44,1.44,81.9,81.9,81.9,0,0
"BALE003","2018-01-04 01:00:00",0.77,0.77,0.77,90.1,90.1,90.1,0,0
"BALE003","2018-01-04 02:00:00",0,0,0,90,90,90,0,0
"BALE003","2018-01-04 03:00:00",1.55,1.55,1.55,72.24,72.24,72.24,0,0
"BALE003","2018-01-04 04:00:00",1.81,1.81,1.81,72.24,72.24,72.24,0,0
"BALE003","2018-01-04 05:00:00",2.25,2.25,2.25,74.39,74.39,74.39,0,0
"BALE003","2018-01-04 06:00:00",1.43,1.43,1.43,75.81,75.81,75.81,0,0
"BALE003","2018-01-04 07:00:00",1.71,1.71,1.71,76.12,76.12,76.12,0.01,0
"BALE003","2018-01-04 08:00:00",3.64,3.64,3.64,70.19,70.19,70.19,0.144,0
"BALE003","2018-01-04 09:00:00",5.67,5.67,5.67,60.86,60.86,60.86,0.37,0
"BALE003","2018-01-04 10:00:00",6.63,6.63,6.63,57.71,57.71,57.71,0.522,0
"BALE003","2018-01-04 11:00:00",7.43,7.43,7.43,58.65,58.65,58.65,0.72,0
"BALE003","2018-01-04 12:00:00",7.7,7.7,7.7,55.96,55.96,55.96,0.88,0
"BALE003","2018-01-04 13:00:00",8.32,8.32,8.32,54.64,54.64,54.64,0.792,0
"BALE003","2018-01-04 14:00:00",8.8,8.8,8.8,48.64,48.64,48.64,0.761,0
"BALE003","2018-01-04 15:00:00",8.93,8.93,8.93,51.61,51.61,51.61,0.618,0
"BALE003","2018-01-04 16:00:00",8.92,8.92,8.92,53.34,53.34,53.34,0.48,0
"BALE003","2018-01-04 17:00:00",7.65,7.65,7.65,59.74,59.74,59.74,0.228,0
"BALE003","2018-01-04 18:00:00",6.32,6.32,6.32,64.73,64.73,64.73,0.084,0
"BALE003","2018-01-04 19:00:00",4.56,4.56,4.56,70.24,70.24,70.24,0.002,0
"BALE003","2018-01-04 20:00:00",3.82,3.82,3.82,73.68,73.68,73.68,0,0
"BALE003","2018-01-04 21:00:00",2.91,2.91,2.91,77.22,77.22,77.22,0,0
"BALE003","2018-01-04 22:00:00",2.49,2.49,2.49,77.42,77.42,77.42,0,0
"BALE003","2018-01-04 23:00:00",2.48,2.48,2.48,80.5,80.5,80.5,0,0
"BALE003","2018-01-05 00:00:00",2.21,2.21,2.21,80.4,80.4,80.4,0,0
"BALE003","2018-01-05 01:00:00",1.77,1.77,1.77,82.7,82.7,82.7,0,0
"BALE003","2018-01-05 02:00:00",1.32,1.32,1.32,84.4,84.4,84.4,0,0
"BALE003","2018-01-05 03:00:00",0.57,0.57,0.57,86.6,86.6,86.6,0,0
"BALE003","2018-01-05 04:00:00",1.87,1.87,1.87,87.2,87.2,87.2,0,0
"BALE003","2018-01-05 05:00:00",2.07,2.07,2.07,85.4,85.4,85.4,0,0
